video_id,comment
qlZM3McwO1Q,ESTADOS UNIDOS  ES UN PAIS MUY DEL TERCER MUNDO/ KENYA PAIS  SUPERIOR A USA!
qlZM3McwO1Q,The Kenyans won the race. But this video showed the second place runners collecting their medals. It's almost like the Australians won the race. Smh
qlZM3McwO1Q,Amazing Team work from Kenya. Eeh eeh!
qlZM3McwO1Q,"Kenya 🇰🇪🥳
Where Ethiopians 🤷🏽‍♂️"
qlZM3McwO1Q,Where is the exciting part the opponents of kenya werec like jogging in the park😂
qlZM3McwO1Q,"This is unfair, Kenyans is too much superior and should stop competing in long distances for few years so that  Europeans collect some trophies in that categories too."
qlZM3McwO1Q,https://youtu.be/Cp1FvxqLDb4?feature=shared  Deaths After Vaccination: Coincidence or Cause? // The Truth About COVID-19 Vaccines
qlZM3McwO1Q,Kenya 🇰🇪 to the world ❤
qlZM3McwO1Q,"Our Athletes never disappoint,our politicians do"
qlZM3McwO1Q,Celebrating the silver when it's only 4 teams 😂😂
qlZM3McwO1Q,Why not show the Africans being crowned? Jealous much?
qlZM3McwO1Q,Black power
qlZM3McwO1Q,She overlap her teammate😢?
qlZM3McwO1Q,Make competitive than this ?
qlZM3McwO1Q,"Wow incredible race.Mkenya Daima,An athletic power on its own league."
qlZM3McwO1Q,"Great to hear it, they had to work so hard to get the record."
qlZM3McwO1Q,"If there is a Black involved, the Black person or team will win!"
qlZM3McwO1Q,Put on some clothes! EAT SOMETHING!!
qlZM3McwO1Q,"Another clickbait misleading headline. This isn't the fastest relay ever (as of this video posting), it was the fastest at the time it was run eleven years ago. Also, the 90+ Legends announcer at 18:37 incorrectly identified the race as a 4 X 1600 meters. It's actually 4 X 1500 meters."
qlZM3McwO1Q,Kenya❤
qlZM3McwO1Q,❤❤❤🎉🎉🎉🎉🎉
qlZM3McwO1Q,Why did she say the USA won bronze when they came in second place
qlZM3McwO1Q,"Wait, I thought the USA was in second place"
qlZM3McwO1Q,Power of black woman 🎉❤❤❤congratulations 🎊
qlZM3McwO1Q,"Well done Kenya, from your jirani Tanzania. You did the Continent proud/"
qlZM3McwO1Q,They r legends great job ladies
qlZM3McwO1Q,"well done Africans ,we are One ,"
qlZM3McwO1Q,"No likes for not showing the 2nd, 3rd timings! How did US missed the silver? How Australia got silver? Shit!"
qlZM3McwO1Q,Where did US gone? Are they not the 2nd? This is shit! I don't understand!
qlZM3McwO1Q,"The one who took this video or posted is racist. 
Period!
Kenya 🇰🇪 won , why not show till the end as they take position to number one?"
qlZM3McwO1Q,"Kenya, where leaders are made. I am a proud Kenyan.🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪"
qlZM3McwO1Q,"Love from Nigeria🇳🇬🇳🇬🇳🇬, they really made us proud🎉 we the entire African's are indeed proud of this Kenyan's ladies ❤❤❤"
qlZM3McwO1Q,So beautiful and very refreshing seeing Kenyan's do us all proud
qlZM3McwO1Q,You're abless to the country
qlZM3McwO1Q,Congratulations KENYAN GIRLS
qlZM3McwO1Q,Congratulations Australia!  Keep breaking records. So proud of you all.
qlZM3McwO1Q,Kenya 🇰🇪 😍
qlZM3McwO1Q,Congratulations Kenya
qlZM3McwO1Q,Kenyans making us proud... hyping us to the world....❤
qlZM3McwO1Q,Proud of you Kenya!❤
qlZM3McwO1Q,Kenya would be well but Ruto has done worse than good we love you you our kenyans
qlZM3McwO1Q,❤❤❤❤❤❤❤
qlZM3McwO1Q,Congratulations Kenya  lady's for breaking new record🎉🎉🎉🎉🎉
qlZM3McwO1Q,"Kenyans has everything!
Our leaders????"
qlZM3McwO1Q,"ACHO MUITO LEGAL O ATLETISMO, PARABÉNS AFRICANAS E QUENIANAS SEMPRE  DANDO SHOW..."
qlZM3McwO1Q,four Kenyan Queens. the announcer did as well as the women. well done
qlZM3McwO1Q,"Kenya my country I'm proud to be a Kenyan, don't pass by not giving a like to Africa's queen"
qlZM3McwO1Q,"KENYA,🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪is our business and African blood runs on us,,❤❤❤❤"
qlZM3McwO1Q,"We call it ""AFRICAN EXCELLENCE"""
qlZM3McwO1Q,Get rid of the annoying thumping noise! 😡
qlZM3McwO1Q,The Kenyans are super powers .
qlZM3McwO1Q,Wow congratulations to my Kenyans🎉❤ you really did a great job 👍👏♥️♥️♥️♥️♥️you represent Africa very well 😂
qlZM3McwO1Q,Congrats Kenya 🇰🇪
qlZM3McwO1Q,"Maybe not so intelligent  but when it's come to stamina ,power and resilience black people are far more superior in races for instance .Therefore respects for the whole Africa and American black etc"
qlZM3McwO1Q,Kenya to the world 🌎 much love from this side
qlZM3McwO1Q,Why can't you show Kenyans celebration 😢😢
qlZM3McwO1Q,Proud of our girls congratulations
qlZM3McwO1Q,Kenya will always do Africa proud.
qlZM3McwO1Q,Love frm uganda❤❤❤❤
qlZM3McwO1Q,Obiri hs always been a beast on track.
qlZM3McwO1Q,"Wow, amazing perf!"
qlZM3McwO1Q,Shame on them
qlZM3McwO1Q,"GOD bless Kenya,, God bless you ❤"
qlZM3McwO1Q,Viva Africa
qlZM3McwO1Q,"Hahahaa! Dat izy d Kenyans put down d Whites like chewing nuts. BRAVO u  all Kenyans, BRAVO!!! 👍👏👏👏"
qlZM3McwO1Q,Proud 👏 of you ladies one Africa 🌍 from South Africa 🇿🇦 you go Kenyan ladies ❤
qlZM3McwO1Q,We can than faster than our other economy that why we are alive 😅😅😅 anyway we are proud to make Africa proud 🇰🇪 🇰🇪
qlZM3McwO1Q,"Faith Kipyegon was very small 11yrs ago, now she's a mother and she has won it all."
qlZM3McwO1Q,black is powerfull
qlZM3McwO1Q,"Who else is feeling those goosebumps 🎉🎉, congratulations 🎉Kenya"
qlZM3McwO1Q,"Am from Japan, I salute you Kenyans women 🎉🎉you don't struggle but run comfortably"
qlZM3McwO1Q,This race was in 2014 ! Great race KENYA 🇰🇪🎉🎉🎉🎉
qlZM3McwO1Q,Am proud to be Kenyan
qlZM3McwO1Q,The kenyas are sprinting 😮
qlZM3McwO1Q,❤❤❤❤❤ 🇰🇪 🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪
qlZM3McwO1Q,Congratulations the Kenyan team we are proud of you.
qlZM3McwO1Q,"Love u kenya❤.. keep it up our Kenyan ladies❤,God bless you.. Esther from Kenya"
qlZM3McwO1Q,am from uganda just watched this and am thrilled sooo happy for my sisters EA oyee
qlZM3McwO1Q,"Words are not enough.... Whenever Kenya awes the world I go to our neighbors, Tanzanians and ask them. Do you even in your wildest dreams think one day you can achieve such glory?"
qlZM3McwO1Q,The only thing that keeps Kenyans together genuinely. Thank ulyou lord for the talent
qlZM3McwO1Q,"Even if you do not show the true legends, they remain so!🇰🇪🇰🇪🇰🇪🇰🇪Congraculations. We remain Kenyan all the time."
qlZM3McwO1Q,Faith kipyegon plus Hellen obiri what do you expect🎉
qlZM3McwO1Q,Congratulations girls🇰🇪🇰🇪
qlZM3McwO1Q,"Kenya, well done!"
qlZM3McwO1Q,KENYA WINS...and no one cares.
qlZM3McwO1Q,"BTW, delete your sht ch"
qlZM3McwO1Q,"Fearless, WTF. Fearless is when you go to war and put your life on the line, You hear people calling men fearless in races. NO. This BS with the women, who are unwatchable in most sports, is laughable."
qlZM3McwO1Q,Africa to the world ❤❤❤❤
qlZM3McwO1Q,"Yes Kenya, show them how it's done!"
qlZM3McwO1Q,"As ugandan, i cerebrate a kenyan lady"
qlZM3McwO1Q,It's still way more pleasant to see Australians. Real beauties.
qlZM3McwO1Q,And the Kenyan is the smallest. Well done Kenya❤
qlZM3McwO1Q,"Great efforts Ladies! 😊
   *Way to go Kenya!*
    🍃🎉🇰🇪🏃🏾‍♀🇰🇪🎉🍃"
qlZM3McwO1Q,Well done Kenya❤
qlZM3McwO1Q,Proudly African ❤thank you Kenya for making us proud 🎉
qlZM3McwO1Q,God is backing Kenya up 🙏🙏🇳🇦 there's backing up
qlZM3McwO1Q,😂😂its high time to just bann Kenyans we are tired of winning
qlZM3McwO1Q,Whenever we Kenyans commit we must Conquer
qlZM3McwO1Q,Divine Grace ❤❤❤🇳🇦
qlZM3McwO1Q,"Thank you, Kenya..."
qlZM3McwO1Q,Am watching from dubai  someone like my comment
qlZM3McwO1Q,Awesome our to our great champions 👏👏👏
qlZM3McwO1Q,"Where are Kenyans???? Didn’t you see the way they worked hard? Or the colour matters?😢😢😢😢😢😢😢😢😢😢😢Well, broadcasters are many with different ways of laying the information… CONGRATULATIONS 🎊🎈🎉🍾 TO KENYANS❤❤❤❤❤"
qlZM3McwO1Q,❤❤❤wow najivunia kuwa mkenya
qlZM3McwO1Q,Welldone our Kenyan girls congratulations!!🎉❤
